name,longitude,latitude,prov,date,key
Bombycilla garrulus,-110.8530464,45.8602215,ebird,2017-03-18,L3456289
Bombycilla garrulus,-74.1282213,44.3193539,ebird,2017-03-18,L1959847
Bombycilla garrulus,-112.8020382,46.1809001,ebird,2017-03-18,L1173410
Bombycilla garrulus,-147.7283478,64.8431001,ebird,2017-03-18,L1211611
Bombycilla garrulus,-68.270967,44.431461,ebird,2017-03-18,L5585455
Bombycilla garrulus,-110.716669,46.761268,ebird,2017-03-18,L5586292
Bombycilla garrulus,-110.7510817,46.5439931,ebird,2017-03-18,L5591519
Bombycilla garrulus,-72.9867375,44.3257439,ebird,2017-03-18,L5585340
Bombycilla garrulus,-72.1845961,43.3785399,ebird,2017-03-18,L5544735
Bombycilla garrulus,-70.1855564,43.8926351,ebird,2017-03-18,L5393901
Bombycilla garrulus,-112.1396828,45.8181525,ebird,2017-03-18,L5576170
Bombycilla garrulus,-68.785473,44.749611,ebird,2017-03-18,L3887436
Bombycilla garrulus,-116.995552,46.7386105,ebird,2017-03-17,L5583966
Bombycilla garrulus,-113.9064217,45.1854246,ebird,2017-03-17,L1936917
Bombycilla garrulus,-71.1852694,44.1088505,ebird,2017-03-17,L2973688
Bombycilla garrulus,-114.0694749,46.767585,ebird,2017-03-17,L4292310
Bombycilla garrulus,-68.8440357,44.6354508,ebird,2017-03-17,L1795350
Bombycilla garrulus,-149.883817,61.192768,ebird,2017-03-17,L5583737
Bombycilla garrulus,-75.696435,44.445965,ebird,2017-03-17,L5539407
Bombycilla garrulus,-114.252264,48.307845,ebird,2017-03-17,L5583490
Bombycilla garrulus,-122.3022079,41.3228143,ebird,2017-03-17,L3441753
Bombycilla garrulus,-92.131394,46.800867,ebird,2017-03-17,L5582658
Bombycilla garrulus,-72.182274,43.381715,ebird,2017-03-17,L5582065
Bombycilla garrulus,-87.1232557,45.188896,ebird,2017-03-17,L3640569
Bombycilla garrulus,-72.175466,43.373667,ebird,2017-03-17,L5582013
Bombycilla garrulus,-106.3040543,41.3432769,ebird,2017-03-17,L742421
Bombycilla garrulus,-70.3337431,44.115394,ebird,2017-03-17,L5602195
Bombycilla garrulus,-68.5014631,45.3592422,ebird,2017-03-17,L2237076
Bombycilla garrulus,-112.053749,46.619151,ebird,2017-03-17,L5209402
Bombycilla garrulus,-72.6620078,44.4876733,ebird,2017-03-17,L748800
Bombycilla garrulus,-68.8596493,44.7499391,ebird,2017-03-17,L2198995
Bombycilla garrulus,-113.9684665,46.9022402,ebird,2017-03-16,L4399585
Bombycilla garrulus,-109.012645,45.112822,ebird,2017-03-16,L4449715
Bombycilla garrulus,-117.4196938,47.6620575,ebird,2017-03-16,L1346052
Bombycilla garrulus,-72.1827292,43.3864622,ebird,2017-03-16,L5580852
Bombycilla garrulus,-72.2010595,43.392871,ebird,2017-03-16,L5582931
Bombycilla garrulus,-74.6817112,44.9779138,ebird,2017-03-16,L5579891
Bombycilla garrulus,-135.3052139,59.4616517,ebird,2017-03-16,L1029744
Bombycilla garrulus,-116.1069489,44.9095537,ebird,2017-03-16,L4810857
Bombycilla garrulus,-135.3555844,59.4835254,ebird,2017-03-16,L3070597
Bombycilla garrulus,-92.005481,46.8397,ebird,2017-03-16,L5579328
Bombycilla garrulus,-84.4288373,46.3606788,ebird,2017-03-16,L1100541
Bombycilla garrulus,-72.3066258,43.7104165,ebird,2017-03-16,L866557
Bombycilla garrulus,-85.6151676,44.6003073,ebird,2017-03-16,L5579180
Bombycilla garrulus,-68.232945,44.529786,ebird,2017-03-16,L3282495
Bombycilla garrulus,-113.9848548,46.8662384,ebird,2017-03-16,L3872083
Bombycilla garrulus,-72.5983675,44.5639668,ebird,2017-03-15,L1740618
Bombycilla garrulus,-107.8707355,48.3642774,ebird,2017-03-15,L1435167
Bombycilla garrulus,-135.3255450726,57.0524819327,inat,2016-12-14,4788989
Bombycilla garrulus,-135.3255558014,57.0524506662,inat,2016-12-14,4775744
Bombycilla garrulus,-135.3243112564,57.0512899,inat,2016-12-07,4732169
Bombycilla garrulus,-126.6551362072,54.3928318983,inat,2016-11-21,4611342
Bombycilla garrulus,-122.3765371,48.3257644,inat,2016-12-19,4798392
Bombycilla garrulus,-122.6883721618,47.9541238721,inat,2016-12-17,4797162
Bombycilla garrulus,-117.390118,49.489271,gbif,2016-01-16,1269584707
Bombycilla garrulus,-117.126961,49.608753,gbif,2016-02-25,1265589830
Bombycilla garrulus,-117.4812922144,45.5601095965,inat,2016-01-09,4915862
Bombycilla garrulus,-114.095632731,51.0641521759,inat,2016-12-18,4791818
Bombycilla garrulus,-117.390118,49.489271,inat,2016-01-16,3302840
Bombycilla garrulus,-117.126961,49.608753,inat,2016-02-25,2998768
Bombycilla garrulus,-113.83764034,52.27179959,inat,2016-11-30,4667986
Bombycilla garrulus,-111.6539216667,40.82938,inat,2016-11-09,4523906
